 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
10050,Albury ,39,31,72,25,145,53,43740,71,74,34,114,47,33,227,12,3,34,143,123,136,92,24
10130,Armidale Regional ,64,15,63,15,46,68,25093,303,29,25,37,9,26,421,30,3,18,40,66,104,61,39
10250,Ballina ,39,23,102,12,31,95,37396,16,81,11,139,6,0,129,23,17,8,34,28,137,4,72
10300,Balranald ,0,0,3,0,0,0,2060,8,0,5,68,0,0,16,0,0,0,4,0,0,0,0
10470,Bathurst Regional ,46,22,58,10,57,45,35813,104,39,29,57,21,19,220,5,4,20,32,65,64,51,38
10550,Bega Valley ,19,9,44,28,14,68,29637,16,77,3,68,3,0,79,8,0,16,34,48,156,5,17
10600,Bellingen ,4,3,45,7,0,23,11539,4,44,0,20,0,0,14,15,0,7,9,9,71,0,13
10650,Berrigan ,0,3,9,0,7,8,7270,8,8,7,23,3,0,34,3,0,3,0,9,15,0,0
10750,Blacktown ,1222,1842,2975,1096,13454,763,180267,10213,227,4937,1933,952,5519,8646,1604,2427,646,1983,13517,584,3382,193
10800,Bland ,3,0,3,0,3,0,5147,8,4,4,0,0,0,23,0,0,3,3,10,0,3,0
10850,Blayney ,3,0,3,3,0,7,6513,10,3,8,9,0,3,14,3,0,0,4,3,14,0,0
10900,Blue Mountains ,128,97,404,181,78,233,68143,126,160,16,288,25,13,437,96,19,152,224,87,422,6,143
10950,Bogan ,4,0,4,0,0,0,2347,0,0,0,0,0,7,6,0,0,0,0,0,4,0,0
11100,Botany Bay ,278,179,1362,125,389,218,23171,760,31,153,576,245,161,4295,1978,699,567,2080,532,111,1535,165
11150,Bourke ,0,0,4,0,0,0,2270,4,3,0,6,0,4,3,0,0,0,3,0,0,0,0
11200,Brewarrina ,0,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11250,Broken Hill ,6,5,7,0,12,7,15754,7,3,3,46,0,3,30,0,0,3,18,38,23,7,8
13910,Hilltops ,0,4,24,0,10,10,16418,206,19,0,36,30,0,51,3,5,10,8,26,15,10,0
14000,Hornsby ,558,3285,1274,401,2327,390,92373,1459,242,1150,1024,114,574,16384,565,124,734,375,894,508,316,747
14100,Hunters Hill ,50,82,96,39,48,74,10411,113,31,14,291,46,14,806,30,38,84,267,21,57,0,38
14170,Inner West ,3701,780,2660,495,926,1093,116020,2387,297,288,5013,437,114,10480,808,611,432,5322,859,806,586,713
14200,Inverell ,36,20,8,0,8,4,14502,13,3,0,31,0,0,33,0,0,3,3,88,30,0,8
14300,Junee ,0,9,10,0,0,4,4651,0,0,6,4,0,0,103,0,0,0,3,0,0,0,0
14350,Kempsey ,11,3,29,10,11,26,25581,14,12,0,24,0,4,84,6,4,4,11,44,67,4,3
14400,Kiama ,6,14,61,13,6,56,18882,22,39,0,107,12,0,94,4,6,5,52,9,85,0,21
14500,Ku-ring-gai ,329,2952,795,205,855,487,80521,314,294,260,602,98,160,16490,403,102,447,384,180,650,102,952
14550,Kyogle ,0,4,11,0,3,17,7836,3,5,0,14,0,0,19,3,3,0,3,11,40,3,15
14600,Lachlan ,0,0,4,0,3,0,5285,7,3,3,0,0,3,17,0,0,0,8,11,8,0,0
14650,Lake Macquarie ,162,176,387,250,240,216,177510,196,219,134,556,113,93,1020,109,26,107,308,263,432,89,118
14700,Lane Cove ,130,329,465,159,345,215,24926,98,56,92,314,61,71,2960,136,34,168,234,158,192,138,433
14750,Leeton ,5,0,6,0,3,3,9353,9,3,21,338,0,6,37,6,0,0,4,33,4,4,8
14850,Lismore ,53,19,102,9,35,113,37801,19,67,4,305,0,33,139,30,3,13,26,61,211,18,67
14870,Lithgow ,36,3,23,7,21,23,17583,45,18,8,60,10,4,76,17,5,4,23,27,44,9,4
14900,Liverpool ,10071,216,5199,874,8132,456,84597,23291,75,933,4534,4977,1970,6055,881,1629,270,2963,2406,278,940,101
14920,Liverpool Plains ,3,3,7,4,0,0,6771,3,4,0,4,0,8,13,0,0,0,4,3,3,0,6
14950,Lockhart ,9,0,0,0,0,5,2738,0,3,0,0,0,0,13,0,0,0,0,0,3,0,4
15050,Maitland ,75,40,126,90,95,60,69715,99,35,37,96,19,68,342,34,9,40,63,165,135,48,20
15240,Mid-Coast ,34,45,109,44,34,72,81523,72,122,6,131,25,16,218,38,5,26,72,95,256,25,48
15270,Mid-Western Regional ,24,15,42,11,4,20,20957,13,21,0,39,3,4,54,5,0,3,19,33,46,6,3
15300,Moree Plains ,3,3,7,3,23,11,11315,8,8,24,19,30,4,39,0,3,13,11,31,17,0,3
15350,Mosman ,47,90,329,73,75,323,21801,38,105,19,246,29,21,915,50,39,133,159,74,236,25,208
15520,Murray River ,4,0,9,3,3,4,10520,6,4,0,43,3,6,29,5,0,3,10,17,4,3,9
15560,Murrumbidgee ,0,7,10,0,0,0,3232,9,3,0,18,0,0,13,0,0,0,0,8,3,3,0
15650,Muswellbrook ,6,3,9,3,20,6,14213,9,11,8,15,3,3,63,3,5,0,12,44,18,12,14
15700,Nambucca ,9,3,30,3,18,31,17469,14,17,0,21,3,0,30,9,0,8,8,15,28,0,6
15750,Narrabri ,3,0,3,0,7,8,11661,0,7,8,14,0,3,34,0,7,3,0,21,15,7,0
15800,Narrandera ,0,4,12,0,0,9,5087,0,3,3,13,0,0,13,0,0,0,3,3,10,0,0
